k,i,j,jw,cpau,jwau,dfpy,dfpy2,jwso,dfv,mfv,dfp,mfp,dfch,dft,pyxvxp,prob,miss,batch,str,train,match,ix,test
7284,1,2,0.092592593,0,0.333333333,2,4,0,,,,,,,2,1,1,A,"AAKVIK A, 2003, CEPR DISCUSSION PAPE
FATAS A., 2001, CEPR DISCUSSION PAPE",TRUE,,7363,FALSE
7754,1,2,0.028571429,0,0,0,0,0,,,,,,,0,1,1,A,"ACKER J., 1991, METHODOLOGY FEMINIST
ACKER J., 1991, METHODOLOGY FEMINIST, P133",TRUE,TRUE,7928,FALSE
8454,1,3,0.037963545,0,0,3,9,0,,,,,,,3,0.333333333,1,A,"AHARONI Y, 1966, FOREIGN INVESTMENT D, P235
AHARONI Y, 1969, FOREIGN INVESTMENT D",TRUE,TRUE,8700,FALSE
9115,1,2,0.068526316,0,0,0,0,0.082962963,,,,,,,0,1,1,A,"ALEXANDER KC, 1989, DOMINANCE STATE POWE, V1, P362
ALEXANDER KC, 1989, DORNINANCE STATE POW",TRUE,TRUE,9355,FALSE
9138,1,2,0.046464646,0,0.016666667,0,0,0,,,,,,,0,1,1,A,"ALEXANDER S, 1920, SPACE TIME DEITY, V1, P44
ALEXANDER S., 1920, SPACE TIME DEITY",TRUE,TRUE,9369,FALSE
9180,1,2,0.086824769,0,0.1,0,0,0,,,,,,,0,1,1,A,"ALFORD R, 1965, MUNICIPAL YB 1965
ALFORD ROBERT R., 1965, MUNICIPAL YB 1965, P82",TRUE,TRUE,9401,FALSE
9231,1,2,0.083109288,0,0.328571429,0,0,0,,,,,,,0,1,1,A,"ALIMADHI F, 2007, ZELIG EVERYONES STAT
IMAI K., 2007, ZELIG EVERYONES STAT",TRUE,,9435,FALSE
10018,1,2,0.023885918,0,0,0,0,0.051111111,,,,,,,0,1,1,A,"AMOS V, 1981, FEMININISM GIRLS ADV
AMOS V, 1981, FEMINISM GIRLS ADVEN",TRUE,TRUE,10282,FALSE
10050,1,2,0.017647059,0,0.033333333,0,0,0.02,,,,,,,0,1,1,A,"AMT E, 2007, DIALOGUS SCACCARIO
AMT E., 2007, DIALOGUS SCACCARIO D",TRUE,TRUE,10319,FALSE
10625,1,2,0.086016662,0,0,38,1444,0.132105263,,,,,,,38,1,1,A,"ANGELL RC, 1930, SOCIOLOGICAL THEORY
ANGELL RC, 1968, SOCIOLOGY LAW INTERD",TRUE,,10917,FALSE
11068,1,2,0.030555556,0,0.025,0,0,0,,,,,,,0,1,1,A,"ARATO A, 2000, CIVIL SOC CONSTITUTI, P71
ARATO A., 2000, CIVIL SOC CONSTITUTI",TRUE,TRUE,11240,FALSE
11115,1,2,0.011111111,0,0,1,1,0,,,,,,,1,1,1,A,"ARCHER MS, 1971, CONTEMPORARY EUROPE
ARCHER MS, 1972, CONTEMPORARY EUROPE",TRUE,TRUE,11264,FALSE
11121,1,2,0.057553191,0,0,0,0,0.051764706,,,,,,,0,0.333333333,1,A,"ARCHIBALD GC, 1959, BRIT J PHILOS SC JUN
ARCHIBALD GC, 1959, BRIT J PHILOS SCI, V10, P58",TRUE,TRUE,11268,FALSE
11194,1,2,0.1,0,0,0,0,0.186153846,,,,,,,0,1,1,A,"ARENGO E, 1996, THESIS DEP ANTHR NEW
ARENGO E, 1996, THESIS NEW SCH SOCIA",TRUE,TRUE,11363,FALSE
11275,1,2,0.0782861,0,0.047435897,0,0,0,,,,,,,0,1,1,A,"ARIZMENDI MAM, 1983, UNPUB COMMUNICATION
ARIZMENDI PM, 1983, UNPUB COMMUNICATION",TRUE,TRUE,11417,FALSE
11620,1,2,0.023255814,0,0,0,0,0,,,,,,,0,1,1,A,"ARRIAGA EE, 1968, NEW LIFE TABLES LATI
ARRIAGA EE, 1968, NEW LIFE TABLES LATI, P25",TRUE,TRUE,11793,FALSE
12392,1,2,0.020790021,0,0.076767677,0,0,0,,,,,,,0,1,1,A,"AUSTEN JH, 1978, CHASE CHANCE CREATIV
AUSTIN J.H., 1978, CHASE CHANCE CREATIV",TRUE,TRUE,12544,FALSE
13289,1,3,0.033170135,0,0.02,0,0,0,,,,,,,0,0.333333333,1,A,"BAIROCH P., 1985, JERICHO MEXICO VILLE
BAIROCH P, 1985, JERICHO MEXICO VILLE, P460",TRUE,TRUE,13473,FALSE
13447,1,3,0.039784946,0,0,1,1,0.05,,,,,,,1,0.333333333,1,A,"BAKKE EW, 1946, MUTUAL SURVIVAL GOAL
BAKKE EW, 1947, MUTUAL SURVIVAL",TRUE,TRUE,13601,FALSE
13681,1,2,0.083374283,0,0.2,18,324,0,,,,,,,18,1,1,A,"BALKO EA, 1998, THESIS STATE U NEW Y
BARKAN SE, 1980, THESIS STATE U NEW Y",TRUE,,13918,FALSE
14372,1,3,0.16772655,0,0.044444444,0,0,0.1925,,,,,,,0,0.333333333,1,A,"BARLOW R., 1981, STAT THEORY RELIABIL
BARLOW RE, 1981, STATISTICAL THEORY R",TRUE,TRUE,14609,FALSE
14409,1,2,0.051629524,0,0.07,0,0,0,,,,,,,0,1,1,A,"BARNARD H., 2008, ARCHAEOLOGY MOBILITY
BARNARD HANS, 2008, ARCHAEOLOGY MOBILITY, P43",TRUE,TRUE,14646,FALSE
14835,1,2,0.078888889,0,0.066666667,0,0,0,,,,,,,0,1,1,A,"BARTEL A, 1977, MEN PRERETIREMENT YE
BARTEL ANN P, 1977, MEN PRERETIREMENT YE, P39",TRUE,TRUE,15141,FALSE
14952,1,2,0.009302326,0,0,0,0,0,,,,,,,0,1,1,A,"BARTLETT RW, 1974, DAIRY MARKETING FACT, P7
BARTLETT RW, 1974, DAIRY MARKETING FACT, V7",TRUE,TRUE,15325,FALSE
15146,1,2,0.051340996,0,0.05,0,0,0.07,,,,,,,0,1,1,A,"BASSO K., 1976, MEANING ANTHR
BASSO KH, 1976, MEANING ANTHROPOLOGY",TRUE,TRUE,15514,FALSE
15164,1,2,0.078125553,0,0,0,0,0.199747475,,,,,,,0,1,1,A,"BASTIAT F., 1964, EC HARMONIES
BASTIAT F., 1964, EC SOPHISMS",TRUE,TRUE,15527,FALSE
15539,1,2,0.053368298,0,0.05,1,1,0,,,,,,,1,1,1,A,"BAUMEISTER R, 1995, EVIL INSIDE HUMAN CR
BAUMEISTER R. F., 1996, EVIL INSIDE HUMAN CR",TRUE,TRUE,15913,FALSE
15716,1,2,0.032432432,0,0,0,0,0.09,,,,,,,0,1,1,A,"BAYOUMI T, 1995, 5115 NBER NAT BUR EC
BAYOUMI T, 1995, 5283 NBER NAT BUR EC",TRUE,TRUE,16115,FALSE
15730,1,2,0.042958748,0,0,0,0,0.083157895,,,,,,,0,1,1,A,"BAZERMAN C, 1999, LANGUAGE EDISONS LIG
BAZERMAN C, 1999, LANGUAGES EDISONS LI",TRUE,TRUE,16125,FALSE
15885,1,2,0.072577985,0,0.073684211,0,0,0,,,,,,,0,1,1,A,"BEARDSLEY EDWARD H., 1987, HIST NEGLECT HLTH CA
BEARDSLEY EH, 1987, HIST NEGLECT HLTH CA, P27",TRUE,TRUE,16318,FALSE
15982,1,2,0.034787234,0,0.032051282,0,0,0,,,,,,,0,0.333333333,1,A,"BEBCHUK L. A., 2000, CONCENTRATED CORPORA, P445
BEBCHUK L A., 2000, CONCENTRATED CORPORA",TRUE,TRUE,16392,FALSE
16026,4,6,0.029795649,0,0,2,4,0,,,,,,,2,0.066666667,1,A,"BECKER G. S., 1996, ACCOUNTING TASTES, P3
BECKER G. S., 1998, ACCOUNTING TASTES",TRUE,TRUE,16459,FALSE
16290,1,2,0.025641026,0,0,0,0,0,,,,,,,0,1,1,A,"BEEGHLEY L, 1983, LIVING POORLY AM
BEEGHLEY L, 1983, LIVING POORLY AM, P93",TRUE,TRUE,16692,FALSE
16331,1,2,0.032163743,0,0.04,3,9,0.02,,,,,,,3,1,1,A,"BEERS D., 2006, SOVEREIGN DEFAULTS 2
BEERS D.T., 2003, SOVEREIGN DEFAULTS H",TRUE,TRUE,16759,FALSE
16680,1,2,0.053361345,0,0.128571429,0,0,0,,,,,,,0,0.333333333,1,A,"BELL RUDOLPH, 1979, FATE HONOR FAMILY VI
BELL RM, 1979, FATE HONOR FAMILY VI",TRUE,TRUE,17094,FALSE
17175,1,2,0.095100996,0,0.1075,0,0,0,,,,,,,0,1,1,A,"BENNETT JM, 1992, CULTURE HIST 1350 16
BENNETT'S JUDITH, 1992, CULTURE HIST 1350 16, P147",TRUE,TRUE,17565,FALSE
17278,2,3,0.028095238,0,0.022222222,9,81,0,,,,,,,9,0.333333333,1,A,"BENSON H, 1975, RELAXATION RESPONSE
BENSON H., 1984, RELAXATION RESPONSE",TRUE,TRUE,17701,FALSE
17504,1,2,0.075294118,0,0.028571429,2,4,0.1,,,,,,,2,1,1,A,"BERG J, 2001, ACCURACY FOREC UNPUB
BERG J., 2003, ACCURACY FORECAST ST",TRUE,TRUE,17938,FALSE
17761,2,3,0.03248337,0,0.015384615,8,64,0,,,,,,,8,0.333333333,1,A,"BERKOVITCH N, 1991, MOTHERHOOD CITIZENSH, P7
BERKOVITCH N., 1999, MOTHERHOOD CITIZENSH",TRUE,TRUE,18199,FALSE
17962,1,2,0.01,0,0,1,1,0,,,,,,,1,0.166666667,1,A,"BERNDT R. M., 1952, DJANGGAWUL ABORIGINA
BERNDT R. M., 1953, DJANGGAWUL ABORIGINA",TRUE,TRUE,18434,FALSE
18366,2,3,0.034782609,0,0,0,0,0.02,,,,,,,0,0.166666667,1,A,"BETTELHEIM C, 1947, BILAN EC FRANCAISE
BETTELHEIM C, 1947, BILAN EC FRANCAISE 1, P170",TRUE,TRUE,18888,FALSE
18508,1,2,0.018604651,0,0,0,0,0,,,,,,,0,1,1,A,"BHAGWATI J., 1996, EC PREFERENTIAL TRAD
BHAGWATI J., 1996, EC PREFERENTIAL TRAD, P1",TRUE,TRUE,19023,FALSE
18743,2,3,0.030769231,0,0.036363636,0,0,0.04,,,,,,,0,0.166666667,1,A,"BIERNACKI R, 1995, FABRICATION LABOR BR
BIERMACKI R, 1995, FABRICATION LABOR GE",TRUE,TRUE,19252,FALSE
19008,1,2,0.011111111,0,0,0,0,0.02,,,,,,,0,1,1,A,"BIOLSI T, 2001, DEADLIES ENEMIES LAW
BIOLSI T, 2001, DEADLIEST ENEMIES LA",TRUE,TRUE,19502,FALSE
19740,1,2,0.041509434,0,0,0,0,0,,,,,,,0,1,1,A,"BLASSINGAME JW, 1974, ATLANTIC MONTHLY AUG
BLASSINGAME JW, 1974, ATLANTIC MONTHLY AUG, V234, P78",TRUE,TRUE,20237,FALSE
19774,1,2,0.172173913,0,0.082051282,0,0,0,,,,,,,0,1,1,A,"BLAU PETER M., 1976, APPROACHES STUDY SOC, P21
BLAU PETER MICHAEL, 1976, APPROACHES STUDY SOC",TRUE,TRUE,20278,FALSE
19987,1,2,0.044202172,0,0.085,0,0,0,,,,,,,0,1,1,A,"BLOCK F., 2001, GREAT TRANSFORMATION
BLOCK FRED, 2001, GREAT TRANSFORMATION",TRUE,TRUE,20543,FALSE
20442,1,2,0.044360902,0,0.06,0,0,0,,,,,,,0,1,1,A,"BOCK R. D., 1989, MULTILEVEL ANAL ED D
BOCK RD, 1989, MULTILEVEL ANAL ED D",TRUE,TRUE,21046,FALSE
20528,1,2,0.058823529,0,0,0,0,0.1,,,,,,,0,1,1,A,"BOE EE, 1968, PUNISHMENT
BOE EE, 1968, PUNISHMENT ISSUES EX",TRUE,TRUE,21128,FALSE
20680,1,2,0.048888889,0,0.028571429,0,0,0,,,,,,,0,1,1,A,"BOHM P, 1985, HDB NATURAL RESOURCE
BOHM P., 1985, HDB NATURAL RESOURCE, VI, P395",TRUE,TRUE,21319,FALSE
20783,1,2,0.087142857,0,0,0,0,0.11,,,,,,,0,1,1,A,"BOLES JN, 1958, HILGARDIA        OCT, P621
BOLES JN, 1958, HILGARDIA, V27",TRUE,TRUE,21406,FALSE
21083,1,2,0.034482759,0,0,0,0,0,,,,,,,0,1,1,A,"BONSER KJ, 1970, DROVERS
BONSER KJ, 1970, DROVERS, P75",TRUE,TRUE,21659,FALSE
21216,1,2,0.010960961,0,0.022222222,0,0,0.01,,,,,,,0,1,1,A,"BORDA JC, 1781, HISTOIRE ACADEMIE RO
BORDA JCD, 1781, HISTORIE ACADEMIE RO",TRUE,TRUE,21770,FALSE
21717,1,2,0.065294118,0,0.05,0,0,0,,,,,,,0,1,1,A,"BOUGLE C, 1922, LECONS SOCIOLOGIE EV, P9
BOUGLE, 1922, LECONS SOCIOLOGIE EV",TRUE,TRUE,22291,FALSE
21904,1,2,0.030277,0,0.033333333,0,0,0.02,,,,,,,0,1,1,A,"BOUWER H, 1978, GROUNDWATER HYROLOGY
BOWER H, 1978, GROUNDWATER HYDROLOG",TRUE,TRUE,22455,FALSE
21947,2,3,0.025910931,0,0,2,4,0.050877193,,,,,,,2,0.333333333,1,A,"BOWDITCH HP, 1877, 8TH STAT BOARD HLTH
BOWDITCH HP, 1879, 10TH STAT BOARD HLTH",TRUE,TRUE,22473,FALSE
22009,1,2,0.03320968,0,0.022222222,0,0,0.051111111,,,,,,,0,1,1,A,"BOWERS W, 1970, MODERN CONCEPTS MACH
BOWERS W., 1970, MODERN CONCEPTS FARM",TRUE,TRUE,22524,FALSE
22285,1,3,0.070615079,0,0,0,0,0.134078947,,,,,,,0,0.166666667,1,A,"BOYNE DH, 1964, 294 MICH AGR EXP STA
BOYNE DH, 1964, 294 MICH STAT U DEP",TRUE,TRUE,22829,FALSE
22458,1,2,0.010526316,0,0,3,9,0,,,,,,,3,1,1,A,"BRADSHAW J., 2002, WELL BEING CHILDREN
BRADSHAW J., 2005, WELL BEING CHILDREN",TRUE,TRUE,23008,FALSE
23635,1,2,0.047368421,0,0,0,0,0.09,,,,,,,0,1,1,A,"BROCK W. H, 1997, J VONLIEBIG
BROCK W. H, 1997, J VONLIEBIG CHEM GAT",TRUE,TRUE,24323,FALSE
24038,1,2,0.08,0,0.025,3,9,0.119298246,,,,,,,3,1,1,A,"BROWN D, 1998, 135 STOCKH I TRANS E
BROWN JD, 2001, 0104 STOCKH I TRANS",TRUE,,24787,FALSE
24242,1,2,0.094024276,0,0.025,85,7225,0.096578947,,,,,,,85,1,1,A,"BROWN R, 1874, STATISTICAL ACCOUNT
BROWN RG, 1959, STATISTICAL FORECAST",TRUE,,25108,FALSE
24714,1,2,0.064072784,0,0.014285714,1,1,0.12,,,,,,,1,0.333333333,1,A,"BRYNJOLFSON E, 1993, 357193 MIT SLOAN SCH
BRYNJOLFSSON E, 1994, 3647 MIT SLOAN SCH M",TRUE,TRUE,25609,FALSE
24900,1,2,0.043314358,0,0,0,0,0.073333333,,,,,,,0,1,1,A,"BUDD A, 1987, EUROP EC REV, P31
BUDD A, 1987, EUROPEAN EC REV, V31",TRUE,TRUE,25773,FALSE
25073,1,2,0.021621622,0,0.044444444,0,0,0.02,,,,,,,0,1,1,A,"BULLOCK A, 1977, REPORT COMMITTEE ENQ
BULLOCK L, 1977, REPORT COMMITTEE INQ",TRUE,TRUE,25896,FALSE
25273,1,2,0.010810811,0,0,2,4,0,,,,,,,2,1,1,A,"BURDETT K, 1995, UNPUB LOW SKILL TRAP
BURDETT K, 1997, UNPUB LOW SKILL TRAP",TRUE,TRUE,26169,FALSE
25603,1,2,0.027777778,0,0,0,0,0.05,,,,,,,0,1,1,A,"BURNS JM, 1991, PEOPLES CHARTER
BURNS JM, 1991, PEOPLES CHARTER PURS",TRUE,TRUE,26473,FALSE
26198,2,3,0.058536585,0,0,0,0,0.07,,,,,,,0,0.333333333,1,A,"CABRAL A, 1973, RETURN SOURCE
CABRAL A, 1973, RETURN SOURCE SELECT, P61",TRUE,TRUE,27061,FALSE
26552,1,3,0.071171171,0,0,2,4,0.07,,,,,,,2,0.333333333,1,A,"CALLOW AB, 1973, AM URBAN HIST, P105
CALLOW AB, 1971, AM URBAN HISTORY INT",TRUE,TRUE,27368,FALSE
26618,1,2,0.01406423,0,0.013333333,1,1,0,,,,,,,1,0.333333333,1,A,"CALVOARMENGOL A, 2004, NETWORKS LABOR MARKE
CALVOARMEGNOL A, 2003, NETWORKS LABOR MARKE",TRUE,TRUE,27441,FALSE
26713,1,2,0.075657895,0,0,29,841,0.105,,,,,,,29,1,1,A,"CAMERON VR, 1930, EMIGRANTS FROM SCOTL
CAMERON VR, 1959, EMIGRANTS SCOTLAND A",TRUE,TRUE,27514,FALSE
27080,1,2,0.094642546,0,0.422222222,0,0,0,,,,,,,0,1,1,A,"CAO M., 2003, WEATHER DERIVATIVES
YOO S, 2003, WEATHER DERIVATIVES",TRUE,,27949,FALSE
27651,1,2,0.010526316,0,0,0,0,0.045789474,,,,,,,0,1,1,A,"CARRIER J., 1995, OSTROS INTIMACY HOMO
CARRIER J., 1995, OTROS INTIMACY HOMOS",TRUE,TRUE,28579,FALSE
27857,1,2,0.084504505,0,0.022222222,4,16,0.126666667,,,,,,,4,1,1,A,"CARTER M, 1998, LAND TENURE LAND MAR
CARTER M., 1994, LAND TENURE REFORM S",TRUE,TRUE,28823,FALSE
28589,1,3,0.03708134,0,0,1,1,0.06,,,,,,,1,0.333333333,1,A,"CHAFE WILLIAM H., 1977, WOMEN EQUALITY
CHAFE WILLIAM H., 1978, WOMEN EQUALITY CHANG",TRUE,TRUE,29640,FALSE
29021,1,2,0.08625731,0,0,1,1,0.146666667,,,,,,,1,1,1,A,"CHAPMAN CA, 1989, IN PRESS OECOLOGIA
CHAPMAN CA, 1990, IN PRESS B TORREY BO",TRUE,,30058,FALSE
29682,2,3,0.031578947,0,0,5,25,0.066666667,,,,,,,5,0.333333333,1,A,"CHESHER AD, 1973, 157 U BIRM DISC PA A
CHESHER AD, 1978, 201 U BIRM DISC PA A",TRUE,,30609,FALSE
30179,1,2,0.024634146,0,0.015384615,2,4,0,,,,,,,2,1,1,A,"CHRISTANO LJ, 1988, CURRENT REAL BUSINES
CHRISTIANO LJ, 1990, CURRENT REAL BUSINES",TRUE,TRUE,31057,FALSE
30490,1,2,0.029795649,0,0.022222222,0,0,0,,,,,,,0,1,1,A,"CLAEYS G, 1987, MACHINERY MONEY MILL, P18
CLAEYS G., 1987, MACHINERY MONEY MILL",TRUE,TRUE,31340,FALSE
30830,1,2,0.095925236,0,0.069444444,16,256,0.126666667,,,,,,,16,1,1,A,"CLARKE G., 1998, POLITICS NGOS SE ASI
CLARKE M, 1982, POLITICS POP FESTIVA",TRUE,,31757,FALSE
31376,2,3,0.047574751,0,0,5,25,0.02,,,,,,,5,0.333333333,1,A,"COBBETT W, 1964, YEARS RESIDENCE US
COBBETT W, 1969, YEARS RESIDENCE US A, P347",TRUE,TRUE,32370,FALSE
31650,1,2,0.074593653,0,0.072727273,6,36,0,,,,,,,6,0.333333333,1,A,"COHEN E. G., 1994, DESIGNING GROUPWORK
COHEN E, 1988, DESIGNING GROUPWORK",TRUE,TRUE,32673,FALSE
32088,1,2,0.020512821,0,0,0,0,0,,,,,,,0,1,1,A,"COLES R, 1977, ESKIMOS CHICANOS IND
COLES R, 1977, ESKIMOS CHICANOS IND, V4",TRUE,TRUE,33216,FALSE
32237,1,2,0.082407989,0,0.08,1,1,0,,,,,,,1,1,1,A,"COLLINS M, 2004, COMMERCIAL BANKS IND
COLLINS MICHAEL, 2003, COMMERCIAL BANKS IND",TRUE,TRUE,33370,FALSE
32436,2,3,0.033976834,0,0,0,0,0.030526316,,,,,,,0,0.333333333,1,A,"COMITAS L, 1973, WORK FAMILY LIFE W I
COMITAS L, 1973, WORKD FAMILY LIFE W, P156",TRUE,TRUE,33558,FALSE
32804,1,2,0.023076923,0,0,0,0,0,,,,,,,0,1,1,A,"CONTAMINE PHILIPPE, 2000, WAR COMPETITION STAT
CONTAMINE PHILIPPE, 2000, WAR COMPETITION STAT, P163",TRUE,TRUE,33916,FALSE
32876,1,2,0.056099709,0,0.091428571,0,0,0,,,,,,,0,1,1,A,"COOK H. J., 2007, MATTERS EXCHANGE COM
COOK HAROLD J., 2007, MATTERS EXCHANGE COM",TRUE,TRUE,33960,FALSE
33278,1,2,0.087211982,0,0,1,1,0.100657895,,,,,,,1,1,1,A,"CORDES S, 1975, RURAL HLTH RESEARCH
CORDES S, 1976, RURAL HLTH SERVICES, P56",TRUE,TRUE,34354,FALSE
34425,2,3,0.023529412,0,0,6,36,0,,,,,,,6,0.333333333,1,A,"CRISP Q, 1977, NAKED CIVIL SERVANT
CRISP Q, 1983, NAKED CIVIL SERVANT",TRUE,TRUE,35511,FALSE
34769,1,2,0.015931721,0,0.02,1,1,0,,,,,,,1,1,1,A,"CROZIER G, 2004, ACTIVATING PARTICIPA
CROZIER G., 2005, ACTIVATING PARTICIPA",TRUE,TRUE,35863,FALSE
35006,1,2,0.036239316,0,0.036363636,0,0,0,,,,,,,0,1,1,A,"CUMMINGS W., 1997, CHALLENGE E ASIAN ED
CUMMINGS WK, 1997, CHALLENGE E ASIAN ED, P135",TRUE,TRUE,36058,FALSE
35169,1,4,0.02270775,0,0.025,3,9,0,,,,,,,3,0.166666667,1,A,"CURRY T, 2005, SOCIOLOGY 21 CENTURY
CURRY TJ, 2002, SOCIOLOGY 21 CENTURY",TRUE,TRUE,36246,FALSE
35949,1,2,0.07054155,0,0.075,1,1,0,,,,,,,1,1,1,A,"DANZIGER D, 1996, AM UNEQUAL
DANZIGER SHELDON, 1995, AM UNEQUAL",TRUE,TRUE,37010,FALSE
36629,1,2,0.016666667,0,0.025,0,0,0.02,,,,,,,0,1,1,A,"DAVIS F, 1979, YEARNING YESTERDAY
DAVIS F., 1979, YEARNING YESTERDAY S",TRUE,TRUE,37783,FALSE
37735,1,2,0.013535354,0,0.011764706,0,0,0,,,,,,,0,1,1,A,"DELAFONTAINERE F, 1932, FRENCH LIBERALISM ED
DELAFONTAINERIE F, 1932, FRENCH LIBERALISM ED",TRUE,TRUE,38820,FALSE
37989,1,2,0.094407895,0,0,5,25,0.1425,,,,,,,5,1,1,A,"DELVALLE T, 1988, KORRIKA RITUALES LEN
DELVALLE T, 1993, KORRIKA BASQUE RITUA",TRUE,TRUE,39038,FALSE
38158,1,2,0.044413976,0,0.06,16,256,0,,,,,,,16,1,1,A,"DENG F. M., 1971, TRADITION MODERNIZAT
DENG FM, 1987, TRADITION MODERNIZAT",TRUE,TRUE,39260,FALSE
38165,1,2,0.025,0,0,0,0,0,,,,,,,0,1,1,A,"DENHAM EB, 1912, CEYLON CENSUS 1911
DENHAM EB, 1912, CEYLON CENSUS 1911, P93",TRUE,TRUE,39266,FALSE
38222,1,2,0.078888889,0,0.082352941,0,0,0.02,,,,,,,0,0.333333333,1,A,"DENNETT MARY WARE, 1926, BIRTH CONTROL LAWS S
DENNETT MW, 1926, BIRTH CONTROL LAWS",TRUE,TRUE,39331,FALSE
