k,i,j,jw,cpau,jwau,dfpy,jwso,dfv,dfp,dfch,dft,pyxvxp,prob,miss,batch,str,train,match,ix
17175,1,2,0.095100996,0,0.1075,0,0,,,,,0,1,1,A,"BENNETT JM, 1992, CULTURE HIST 1350 16
BENNETT'S JUDITH, 1992, CULTURE HIST 1350 16, P147",TRUE,1,17565
17278,2,3,0.028095238,0,0.022222222,9,0,,,,,9,0.333333333,1,A,"BENSON H, 1975, RELAXATION RESPONSE
BENSON H., 1984, RELAXATION RESPONSE",TRUE,1,17701
17504,1,2,0.075294118,0,0.028571429,2,0.1,,,,,2,1,1,A,"BERG J, 2001, ACCURACY FOREC UNPUB
BERG J., 2003, ACCURACY FORECAST ST",TRUE,1,17938
17761,2,3,0.03248337,0,0.015384615,8,0,,,,,8,0.333333333,1,A,"BERKOVITCH N, 1991, MOTHERHOOD CITIZENSH, P7
BERKOVITCH N., 1999, MOTHERHOOD CITIZENSH",TRUE,1,18199
17962,1,2,0.01,0,0,1,0,,,,,1,0.166666667,1,A,"BERNDT R. M., 1952, DJANGGAWUL ABORIGINA
BERNDT R. M., 1953, DJANGGAWUL ABORIGINA",TRUE,1,18434
18366,2,3,0.034782609,0,0,0,0.02,,,,,0,0.166666667,1,A,"BETTELHEIM C, 1947, BILAN EC FRANCAISE
BETTELHEIM C, 1947, BILAN EC FRANCAISE 1, P170",TRUE,1,18888
18508,1,2,0.018604651,0,0,0,0,,,,,0,1,1,A,"BHAGWATI J., 1996, EC PREFERENTIAL TRAD
BHAGWATI J., 1996, EC PREFERENTIAL TRAD, P1",TRUE,1,19023
18743,2,3,0.030769231,0,0.036363636,0,0.04,,,,,0,0.166666667,1,A,"BIERNACKI R, 1995, FABRICATION LABOR BR
BIERMACKI R, 1995, FABRICATION LABOR GE",TRUE,1,19252
19008,1,2,0.011111111,0,0,0,0.02,,,,,0,1,1,A,"BIOLSI T, 2001, DEADLIES ENEMIES LAW
BIOLSI T, 2001, DEADLIEST ENEMIES LA",TRUE,1,19502
19740,1,2,0.041509434,0,0,0,0,,,,,0,1,1,A,"BLASSINGAME JW, 1974, ATLANTIC MONTHLY AUG
BLASSINGAME JW, 1974, ATLANTIC MONTHLY AUG, V234, P78",TRUE,1,20237
19774,1,2,0.172173913,0,0.082051282,0,0,,,,,0,1,1,A,"BLAU PETER M., 1976, APPROACHES STUDY SOC, P21
BLAU PETER MICHAEL, 1976, APPROACHES STUDY SOC",TRUE,1,20278
19987,1,2,0.044202172,0,0.085,0,0,,,,,0,1,1,A,"BLOCK F., 2001, GREAT TRANSFORMATION
BLOCK FRED, 2001, GREAT TRANSFORMATION",TRUE,1,20543
20442,1,2,0.044360902,0,0.06,0,0,,,,,0,1,1,A,"BOCK R. D., 1989, MULTILEVEL ANAL ED D
BOCK RD, 1989, MULTILEVEL ANAL ED D",TRUE,1,21046
20528,1,2,0.058823529,0,0,0,0.1,,,,,0,1,1,A,"BOE EE, 1968, PUNISHMENT
BOE EE, 1968, PUNISHMENT ISSUES EX",TRUE,1,21128
20680,1,2,0.048888889,0,0.028571429,0,0,,,,,0,1,1,A,"BOHM P, 1985, HDB NATURAL RESOURCE
BOHM P., 1985, HDB NATURAL RESOURCE, VI, P395",TRUE,1,21319
20783,1,2,0.087142857,0,0,0,0.11,,,,,0,1,1,A,"BOLES JN, 1958, HILGARDIA        OCT, P621
BOLES JN, 1958, HILGARDIA, V27",TRUE,1,21406
21083,1,2,0.034482759,0,0,0,0,,,,,0,1,1,A,"BONSER KJ, 1970, DROVERS
BONSER KJ, 1970, DROVERS, P75",TRUE,1,21659
21216,1,2,0.010960961,0,0.022222222,0,0.01,,,,,0,1,1,A,"BORDA JC, 1781, HISTOIRE ACADEMIE RO
BORDA JCD, 1781, HISTORIE ACADEMIE RO",TRUE,1,21770
21717,1,2,0.065294118,0,0.05,0,0,,,,,0,1,1,A,"BOUGLE C, 1922, LECONS SOCIOLOGIE EV, P9
BOUGLE, 1922, LECONS SOCIOLOGIE EV",TRUE,1,22291
21904,1,2,0.030277,0,0.033333333,0,0.02,,,,,0,1,1,A,"BOUWER H, 1978, GROUNDWATER HYROLOGY
BOWER H, 1978, GROUNDWATER HYDROLOG",TRUE,1,22455
21947,2,3,0.025910931,0,0,2,0.050877193,,,,,2,0.333333333,1,A,"BOWDITCH HP, 1877, 8TH STAT BOARD HLTH
BOWDITCH HP, 1879, 10TH STAT BOARD HLTH",TRUE,1,22473
22009,1,2,0.03320968,0,0.022222222,0,0.051111111,,,,,0,1,1,A,"BOWERS W, 1970, MODERN CONCEPTS MACH
BOWERS W., 1970, MODERN CONCEPTS FARM",TRUE,1,22524
22285,1,3,0.070615079,0,0,0,0.134078947,,,,,0,0.166666667,1,A,"BOYNE DH, 1964, 294 MICH AGR EXP STA
BOYNE DH, 1964, 294 MICH STAT U DEP",TRUE,1,22829
22458,1,2,0.010526316,0,0,3,0,,,,,3,1,1,A,"BRADSHAW J., 2002, WELL BEING CHILDREN
BRADSHAW J., 2005, WELL BEING CHILDREN",TRUE,1,23008
23635,1,2,0.047368421,0,0,0,0.09,,,,,0,1,1,A,"BROCK W. H, 1997, J VONLIEBIG
BROCK W. H, 1997, J VONLIEBIG CHEM GAT",TRUE,1,24323
24038,1,2,0.08,0,0.025,3,0.119298246,,,,,3,1,1,A,"BROWN D, 1998, 135 STOCKH I TRANS E
BROWN JD, 2001, 0104 STOCKH I TRANS",TRUE,,24787
24242,1,2,0.094024276,0,0.025,85,0.096578947,,,,,85,1,1,A,"BROWN R, 1874, STATISTICAL ACCOUNT
BROWN RG, 1959, STATISTICAL FORECAST",TRUE,,25108
24714,1,2,0.064072784,0,0.014285714,1,0.12,,,,,1,0.333333333,1,A,"BRYNJOLFSON E, 1993, 357193 MIT SLOAN SCH
BRYNJOLFSSON E, 1994, 3647 MIT SLOAN SCH M",TRUE,1,25609
24900,1,2,0.043314358,0,0,0,0.073333333,,,,,0,1,1,A,"BUDD A, 1987, EUROP EC REV, P31
BUDD A, 1987, EUROPEAN EC REV, V31",TRUE,1,25773
25073,1,2,0.021621622,0,0.044444444,0,0.02,,,,,0,1,1,A,"BULLOCK A, 1977, REPORT COMMITTEE ENQ
BULLOCK L, 1977, REPORT COMMITTEE INQ",TRUE,1,25896
25273,1,2,0.010810811,0,0,2,0,,,,,2,1,1,A,"BURDETT K, 1995, UNPUB LOW SKILL TRAP
BURDETT K, 1997, UNPUB LOW SKILL TRAP",TRUE,1,26169
25603,1,2,0.027777778,0,0,0,0.05,,,,,0,1,1,A,"BURNS JM, 1991, PEOPLES CHARTER
BURNS JM, 1991, PEOPLES CHARTER PURS",TRUE,1,26473
26198,2,3,0.058536585,0,0,0,0.07,,,,,0,0.333333333,1,A,"CABRAL A, 1973, RETURN SOURCE
CABRAL A, 1973, RETURN SOURCE SELECT, P61",TRUE,1,27061
26552,1,3,0.071171171,0,0,2,0.07,,,,,2,0.333333333,1,A,"CALLOW AB, 1973, AM URBAN HIST, P105
CALLOW AB, 1971, AM URBAN HISTORY INT",TRUE,1,27368
26618,1,2,0.01406423,0,0.013333333,1,0,,,,,1,0.333333333,1,A,"CALVOARMENGOL A, 2004, NETWORKS LABOR MARKE
CALVOARMEGNOL A, 2003, NETWORKS LABOR MARKE",TRUE,1,27441
26713,1,2,0.075657895,0,0,29,0.105,,,,,29,1,1,A,"CAMERON VR, 1930, EMIGRANTS FROM SCOTL
CAMERON VR, 1959, EMIGRANTS SCOTLAND A",TRUE,1,27514
27080,1,2,0.094642546,0,0.422222222,0,0,,,,,0,1,1,A,"CAO M., 2003, WEATHER DERIVATIVES
YOO S, 2003, WEATHER DERIVATIVES",TRUE,,27949
27651,1,2,0.010526316,0,0,0,0.045789474,,,,,0,1,1,A,"CARRIER J., 1995, OSTROS INTIMACY HOMO
CARRIER J., 1995, OTROS INTIMACY HOMOS",TRUE,1,28579
27857,1,2,0.084504505,0,0.022222222,4,0.126666667,,,,,4,1,1,A,"CARTER M, 1998, LAND TENURE LAND MAR
CARTER M., 1994, LAND TENURE REFORM S",TRUE,1,28823
28589,1,3,0.03708134,0,0,1,0.06,,,,,1,0.333333333,1,A,"CHAFE WILLIAM H., 1977, WOMEN EQUALITY
CHAFE WILLIAM H., 1978, WOMEN EQUALITY CHANG",TRUE,1,29640
29021,1,2,0.08625731,0,0,1,0.146666667,,,,,1,1,1,A,"CHAPMAN CA, 1989, IN PRESS OECOLOGIA
CHAPMAN CA, 1990, IN PRESS B TORREY BO",TRUE,,30058
29682,2,3,0.031578947,0,0,5,0.066666667,,,,,5,0.333333333,1,A,"CHESHER AD, 1973, 157 U BIRM DISC PA A
CHESHER AD, 1978, 201 U BIRM DISC PA A",TRUE,,30609
30179,1,2,0.024634146,0,0.015384615,2,0,,,,,2,1,1,A,"CHRISTANO LJ, 1988, CURRENT REAL BUSINES
CHRISTIANO LJ, 1990, CURRENT REAL BUSINES",TRUE,1,31057
30490,1,2,0.029795649,0,0.022222222,0,0,,,,,0,1,1,A,"CLAEYS G, 1987, MACHINERY MONEY MILL, P18
CLAEYS G., 1987, MACHINERY MONEY MILL",TRUE,1,31340
30830,1,2,0.095925236,0,0.069444444,16,0.126666667,,,,,16,1,1,A,"CLARKE G., 1998, POLITICS NGOS SE ASI
CLARKE M, 1982, POLITICS POP FESTIVA",TRUE,,31757
31376,2,3,0.047574751,0,0,5,0.02,,,,,5,0.333333333,1,A,"COBBETT W, 1964, YEARS RESIDENCE US
COBBETT W, 1969, YEARS RESIDENCE US A, P347",TRUE,1,32370
31650,1,2,0.074593653,0,0.072727273,6,0,,,,,6,0.333333333,1,A,"COHEN E. G., 1994, DESIGNING GROUPWORK
COHEN E, 1988, DESIGNING GROUPWORK",TRUE,1,32673
32088,1,2,0.020512821,0,0,0,0,,,,,0,1,1,A,"COLES R, 1977, ESKIMOS CHICANOS IND
COLES R, 1977, ESKIMOS CHICANOS IND, V4",TRUE,1,33216
32237,1,2,0.082407989,0,0.08,1,0,,,,,1,1,1,A,"COLLINS M, 2004, COMMERCIAL BANKS IND
COLLINS MICHAEL, 2003, COMMERCIAL BANKS IND",TRUE,1,33370
32436,2,3,0.033976834,0,0,0,0.030526316,,,,,0,0.333333333,1,A,"COMITAS L, 1973, WORK FAMILY LIFE W I
COMITAS L, 1973, WORKD FAMILY LIFE W, P156",TRUE,1,33558
32804,1,2,0.023076923,0,0,0,0,,,,,0,1,1,A,"CONTAMINE PHILIPPE, 2000, WAR COMPETITION STAT
CONTAMINE PHILIPPE, 2000, WAR COMPETITION STAT, P163",TRUE,1,33916
32876,1,2,0.056099709,0,0.091428571,0,0,,,,,0,1,1,A,"COOK H. J., 2007, MATTERS EXCHANGE COM
COOK HAROLD J., 2007, MATTERS EXCHANGE COM",TRUE,1,33960
33278,1,2,0.087211982,0,0,1,0.100657895,,,,,1,1,1,A,"CORDES S, 1975, RURAL HLTH RESEARCH
CORDES S, 1976, RURAL HLTH SERVICES, P56",TRUE,1,34354
34425,2,3,0.023529412,0,0,6,0,,,,,6,0.333333333,1,A,"CRISP Q, 1977, NAKED CIVIL SERVANT
CRISP Q, 1983, NAKED CIVIL SERVANT",TRUE,1,35511
34769,1,2,0.015931721,0,0.02,1,0,,,,,1,1,1,A,"CROZIER G, 2004, ACTIVATING PARTICIPA
CROZIER G., 2005, ACTIVATING PARTICIPA",TRUE,1,35863
35006,1,2,0.036239316,0,0.036363636,0,0,,,,,0,1,1,A,"CUMMINGS W., 1997, CHALLENGE E ASIAN ED
CUMMINGS WK, 1997, CHALLENGE E ASIAN ED, P135",TRUE,1,36058
35169,1,4,0.02270775,0,0.025,3,0,,,,,3,0.166666667,1,A,"CURRY T, 2005, SOCIOLOGY 21 CENTURY
CURRY TJ, 2002, SOCIOLOGY 21 CENTURY",TRUE,1,36246
35949,1,2,0.07054155,0,0.075,1,0,,,,,1,1,1,A,"DANZIGER D, 1996, AM UNEQUAL
DANZIGER SHELDON, 1995, AM UNEQUAL",TRUE,1,37010
36629,1,2,0.016666667,0,0.025,0,0.02,,,,,0,1,1,A,"DAVIS F, 1979, YEARNING YESTERDAY
DAVIS F., 1979, YEARNING YESTERDAY S",TRUE,1,37783
37735,1,2,0.013535354,0,0.011764706,0,0,,,,,0,1,1,A,"DELAFONTAINERE F, 1932, FRENCH LIBERALISM ED
DELAFONTAINERIE F, 1932, FRENCH LIBERALISM ED",TRUE,1,38820
37989,1,2,0.094407895,0,0,5,0.1425,,,,,5,1,1,A,"DELVALLE T, 1988, KORRIKA RITUALES LEN
DELVALLE T, 1993, KORRIKA BASQUE RITUA",TRUE,1,39038
38158,1,2,0.044413976,0,0.06,16,0,,,,,16,1,1,A,"DENG F. M., 1971, TRADITION MODERNIZAT
DENG FM, 1987, TRADITION MODERNIZAT",TRUE,1,39260
38165,1,2,0.025,0,0,0,0,,,,,0,1,1,A,"DENHAM EB, 1912, CEYLON CENSUS 1911
DENHAM EB, 1912, CEYLON CENSUS 1911, P93",TRUE,1,39266
38222,1,2,0.078888889,0,0.082352941,0,0.02,,,,,0,0.333333333,1,A,"DENNETT MARY WARE, 1926, BIRTH CONTROL LAWS S
DENNETT MW, 1926, BIRTH CONTROL LAWS",TRUE,1,39331
38456,1,2,0.066666667,0,0.05,6,0.1,,,,,6,1,1,A,"DESAI BM, 1975, 80 CORN U DEP AGR EC
DESAI GM, 1969, 24 CORN U DEPT AGR E",TRUE,,39577
38469,1,2,0.084285714,0,0,0,0.155,,,,,0,1,1,A,"DESAI P, 1986, WEATHER GRAIN YIELDS
DESAI P, 1986, WEATHER SOVIET GRAIN",TRUE,1,39590
38477,1,2,0.085741088,0,0.02,0,0.111111111,,,,,0,0.333333333,1,A,"DESALIS JR, 1932, SISMONDI
DESALIS J, 1932, SISMONDI 1773 1842, P407",TRUE,1,39595
38646,1,2,0.031818182,0,0.02,0,0,,,,,0,1,1,A,"DEUTSCH J, 1999, HDB INCOME INEQUALIT
DEUTSCH J., 1999, HDB INCOME INEQUALIT, P363",TRUE,1,39743
39395,1,2,0.067507003,0,0.030769231,0,0,,,,,0,1,1,A,"DILLEHAY T. D, 1991, 1 AM SEARCH RES, P231
DILLEHAY TD, 1991, 1 AM SEARCH RES",TRUE,1,40523
39669,2,3,0.013333333,0,0.025,0,0.014285714,,,,,0,0.333333333,1,A,"DIXIT A, 1999, GAMES STRAEGY
DIXIT A., 1999, GAMES STRATEGY",TRUE,1,40788
39738,1,2,0.120667727,0,0,0,0.195833333,,,,,0,1,1,A,"DJANKOV S, 2000, DID PRIVATIZATION FA
DJANKOV S, 2000, WHY DID PRIVATIZATIO",TRUE,1,40843
40133,1,2,0.016366366,0,0.022222222,0,0.02,,,,,0,1,1,A,"DONALD S, 2001, INFERENCES DIFFERENC
DONALD S., 2001, INFERENCE DIFFERENCE",TRUE,1,41214
40932,1,2,0.031818182,0,0.018181818,0,0,,,,,0,1,1,A,"DRONKERS J, 1993, ADOLESCENCE CAREERS
DRONKERS J., 1993, ADOLESCENCE CAREERS, P267",TRUE,1,41979
41075,2,3,0.005128205,0,0.018181818,0,0,,,,,0,0.333333333,1,A,"DUBOFSKY M, 1994, STATE LABOR MODERN A
DUBOFSKY M., 1994, STATE LABOR MODERN A",TRUE,1,42184
41147,1,2,0.031578947,0,0,0,0,,,,,0,1,1,A,"DUCK N, 1976, INFLATION WORLD EC
DUCK N, 1976, INFLATION WORLD EC, P113",TRUE,1,42273
41266,1,2,0.043211233,0,0.054545455,1,0,,,,,1,1,1,A,"DUGARD J, 1979, HUMAN RIGHTS S AFRIC
DUGARD JOHN, 1978, HUMAN RIGHTS S AFRIC",TRUE,1,42401
41662,2,3,0.021487277,0,0.018181818,1,0,,,,,1,0.166666667,1,A,"DUNSDORF E, 1956, AUSTR WHEAT GROWING
DUNSDORFS E, 1957, AUSTR WHEAT GROWING",TRUE,1,42844
41718,1,2,0.022857143,0,0,1,0.02,,,,,1,1,1,A,"DUPUY R, 1988, REVOLUTION CHOUANNER
DUPUY R, 1989, REVO9LUTION CHOUANNE",TRUE,1,42920
41793,1,2,0.026086957,0,0,0,0,,,,,0,1,1,A,"DURLAUF S.N., 1996, DYNAMIC DISEQUILIBRI
DURLAUF S.N., 1996, DYNAMIC DISEQUILIBRI, P505",TRUE,1,43026
